window_start	window_end	avg_conn_duration	number_of_conn	sum_orig_kbytes	sum_resp_kbytes
14/04/18 00:00	14/04/18 00:10	0.5978564974986913	13393	2526	373245
14/04/18 00:10	14/04/18 00:20	0.6690916174550062	12558	1903	349866
14/04/18 00:20	14/04/18 00:30	1.503760531202658	13861	2204	483625
14/04/18 00:30	14/04/18 00:40	2.4546171704628454	15059	1054674	483026
14/04/18 00:40	14/04/18 00:50	2.3625447400763884	14662	12775761	441926
14/04/18 00:50	14/04/18 01:00	1.0445877412559927	12723	6939428	370329
14/04/18 01:00	14/04/18 01:10	1.4603031680346943	12914	3499469	341021
14/04/18 01:10	14/04/18 01:20	0.8460166294565468	13267	2203	390662
14/04/18 01:20	14/04/18 01:30	1.8154050349787758	12722	2161	353530
14/04/18 01:30	14/04/18 01:40	1.483709392687018	14905	2996	382276
14/04/18 01:40	14/04/18 01:50	1.0193597818627451	17544	7716311	501046
14/04/18 01:50	14/04/18 02:00	2.3715488358789254	14404	1702992	425824
14/04/18 02:00	14/04/18 02:10	1.0916130054233215	16595	484294	458695
14/04/18 02:10	14/04/18 02:20	0.9373706822648906	13228	1867846	333903
14/04/18 02:20	14/04/18 02:30	1.0404147810507618	12391	1089740	346160
14/04/18 02:30	14/04/18 02:40	1.3707903453131887	13634	155840	399801
14/04/18 02:40	14/04/18 02:50	0.33085767181050374	47241	11027	350410
14/04/18 02:50	14/04/18 03:00	2.0969617073419258	13743	3256	344728
14/04/18 03:00	14/04/18 03:10	0.8686949505958844	13845	2795	420753
14/04/18 03:10	14/04/18 03:20	2.147208671840978	14237	2599783	437469
14/04/18 03:20	14/04/18 03:30	0.8157120768766069	13242	386670	389848
14/04/18 03:30	14/04/18 03:40	0.8276809507892259	15078	2403	479431
14/04/18 03:40	14/04/18 03:50	1.0288887097357113	17708	536097	388085
14/04/18 03:50	14/04/18 04:00	1.0746852477480975	12989	2925	471984
14/04/18 04:00	14/04/18 04:10	1.0075404870960278	12903	2381	372837
14/04/18 04:10	14/04/18 04:20	1.6378082441751445	12790	14831	329614
14/04/18 04:20	14/04/18 04:30	1.1668639495020805	12753	2347781	431435
14/04/18 04:30	14/04/18 04:40	0.867350268236413	14737	2769	449831
14/04/18 04:40	14/04/18 04:50	0.9665135935406913	15079	3998	385945
14/04/18 04:50	14/04/18 05:00	0.9282298721449199	15236	2591	489660
14/04/18 05:00	14/04/18 05:10	1.28955220907071	13053	2341	363166
14/04/18 05:10	14/04/18 05:20	0.9770720232405053	15189	2940	358661
14/04/18 05:20	14/04/18 05:30	2.0019258404047955	13340	3260	365113
14/04/18 05:30	14/04/18 05:40	1.3810736530951706	13828	2946	353146
14/04/18 05:40	14/04/18 05:50	1.2670269210857321	15105	4382	474761
14/04/18 05:50	14/04/18 06:00	0.9355922429976257	14745	2784	450959
14/04/18 06:00	14/04/18 06:10	1.1921629049399394	16316	4009	483737
14/04/18 06:10	14/04/18 06:20	1.2162716908608917	15844	3789	347596
14/04/18 06:20	14/04/18 06:30	1.5784718644018647	13776	6777	359260
14/04/18 06:30	14/04/18 06:40	1.491439747286296	14740	3775	370893
14/04/18 06:40	14/04/18 06:50	1.3444829197197923	14275	6410	381295
14/04/18 06:50	14/04/18 07:00	1.1715887680958268	13691	5868	398874
14/04/18 07:00	14/04/18 07:10	1.3617321361499422	15953	19434	483676
14/04/18 07:10	14/04/18 07:20	1.3607539131689599	15939	1812490	507304
14/04/18 07:20	14/04/18 07:30	1.7601536499141757	14565	3117719	341051
14/04/18 07:30	14/04/18 07:40	2.2818997446662492	14577	4057944	343126
14/04/18 07:40	14/04/18 07:50	1.2601741695553021	17540	2443996	375365
14/04/18 07:50	14/04/18 08:00	1.4690427046617	13686	3363	376437
14/04/18 08:00	14/04/18 08:10	1.3750231318176134	15878	3826	369950
14/04/18 08:10	14/04/18 08:20	1.0115543734597154	14770	2565	495396
14/04/18 08:20	14/04/18 08:30	1.2468924725524257	14974	3332	395847
14/04/18 08:30	14/04/18 08:40	1.40186977401521	15917	80792	526669
14/04/18 08:40	14/04/18 08:50	0.4356702897080352	57268	3810295	377941
14/04/18 08:50	14/04/18 09:00	1.2701301832613803	15055	1966456	395222
14/04/18 09:00	14/04/18 09:10	1.398932343832934	14318	4648349	361686
14/04/18 09:10	14/04/18 09:20	1.3130375224863902	13964	1881247	366013
14/04/18 09:20	14/04/18 09:30	1.3451313710497201	13575	1233577	390785
14/04/18 09:30	14/04/18 09:40	1.2214856045984672	15005	2876	377211
14/04/18 09:40	14/04/18 09:50	1.4191470418422976	19454	5405	564178
14/04/18 09:50	14/04/18 10:00	1.5275414087084371	14974	3446	432069
14/04/18 10:00	14/04/18 10:10	1.366973546800413	14455	914468	366783
14/04/18 10:10	14/04/18 10:20	1.1854182121097592	13229	1445161	359751
14/04/18 10:20	14/04/18 10:30	1.165225699500578	13015	2786	355688
14/04/18 10:30	14/04/18 10:40	0.8026077003410985	13779	2343	376990
14/04/18 10:40	14/04/18 10:50	1.6181826790980671	13970	4383	384682
14/04/18 10:50	14/04/18 11:00	1.0897272610858137	14275	3223	384313
14/04/18 11:00	14/04/18 11:10	0.9974622002363052	14388	2503	442447
