window_start	window_end	avg_conn_duration	number_of_conn	d_number_of_conn	sum_orig_kbytes	sum_resp_kbytes
13/04/18 23:10	14/04/18 00:10	1.0916130054233204	16595	None	484294	458695
13/04/18 23:20	14/04/18 00:20	1.023198779800825	29823	13228	2352140	792598
13/04/18 23:30	14/04/18 00:30	1.0282521618894207	42214	12391	3441880	1138757
13/04/18 23:40	14/04/18 00:40	1.1118749521916618	55848	13634	3597720	1538559
13/04/18 23:50	14/04/18 00:50	0.753970254867153	103089	47241	3608748	1888969
14/04/18 00:00	14/04/18 01:00	0.9119469353259375	116832	13743	3612004	2233697
14/04/18 00:10	14/04/18 01:10	0.880562648919198	114082	-2750	3130505	2195755
14/04/18 00:20	14/04/18 01:20	1.030720200450078	115091	1009	3862442	2299321
14/04/18 00:30	14/04/18 01:30	1.0051275496368872	115942	851	3159371	2343010
14/04/18 00:40	14/04/18 01:40	0.9398643464126896	117386	1444	3005934	2422640
14/04/18 00:50	14/04/18 01:50	1.2852882675150539	87853	-29533	3531004	2460315
14/04/18 01:00	14/04/18 02:00	1.1258105386399404	87099	-754	3530672	2587571
14/04/18 01:10	14/04/18 02:10	1.1494154325127401	86157	-942	3530258	2539655
14/04/18 01:20	14/04/18 02:20	1.055459131165152	84710	-1447	945306	2431801
14/04/18 01:30	14/04/18 02:30	1.1100236238824046	84221	-489	2906417	2473387
14/04/18 01:40	14/04/18 02:40	1.1181410008822124	83880	-341	2906783	2443787
14/04/18 01:50	14/04/18 02:50	1.1094529834586642	81251	-2629	2374684	2441646
14/04/18 02:00	14/04/18 03:00	1.0817934322738254	83498	2247	2374350	2459323
14/04/18 02:10	14/04/18 03:10	1.1256672973412387	83648	150	2374311	2449652
14/04/18 02:20	14/04/18 03:20	1.0233128128348465	86047	2399	2362420	2478699
14/04/18 02:30	14/04/18 03:30	1.1528692241960439	86634	587	17899	2412377
14/04/18 02:40	14/04/18 03:40	1.238763697182853	85725	-909	18075	2315692
14/04/18 02:50	14/04/18 03:50	1.2916164372077292	85751	26	18460	2404508
14/04/18 03:00	14/04/18 04:00	1.2949823879662208	85260	-491	18654	2365807
14/04/18 03:10	14/04/18 04:10	1.2768320478293762	88523	3263	20322	2486378
14/04/18 03:20	14/04/18 04:20	1.3171282724326627	89178	655	21170	2475312
14/04/18 03:30	14/04/18 04:30	1.2553641481464946	89614	436	24688	2469459
14/04/18 03:40	14/04/18 04:40	1.2746010888805421	90526	912	25518	2487206
14/04/18 03:50	14/04/18 04:50	1.2869981962183374	89696	-830	27545	2393740
14/04/18 04:00	14/04/18 05:00	1.3276269083391607	88642	-1054	30629	2341655
14/04/18 04:10	14/04/18 05:10	1.3588269828611554	88279	-363	46054	2341594
14/04/18 04:20	14/04/18 05:20	1.384732332722293	88374	95	1854756	2501302
14/04/18 04:30	14/04/18 05:30	1.4161249024707554	89163	789	4965697	2483092
14/04/18 04:40	14/04/18 05:40	1.545453655977528	89000	-163	9019866	2455325
14/04/18 04:50	14/04/18 05:50	1.522314383970087	92265	3265	11457452	2449396
