window_start	window_end	avg_conn_duration	number_of_conn	sum_orig_kbytes	sum_resp_kbytes
13/07/18 23:10	14/07/18 00:10	1.0533084184860235	14703	3326	425159
13/07/18 23:20	14/07/18 00:20	1.164710364384867	29392	20885	936751
13/07/18 23:30	14/07/18 00:30	1.1308016193044874	41897	24372	1307585
13/07/18 23:40	14/07/18 00:40	1.0497782520375971	54476	27835	1743201
13/07/18 23:50	14/07/18 00:50	1.008931582695202	68559	30318	2188544
14/07/18 00:00	14/07/18 01:00	1.0223819389456132	82664	33568	2699449
14/07/18 00:10	14/07/18 01:10	1.0438444955486366	81885	33675	2629312
14/07/18 00:20	14/07/18 01:20	1.0607149276940677	80436	19059	2470023
14/07/18 00:30	14/07/18 01:30	1.0454420790116212	81507	19130	2609587
14/07/18 00:40	14/07/18 01:40	1.1063840792503443	84252	19847	2681466
14/07/18 00:50	14/07/18 01:50	1.1198899352321867	87667	57637	2633450
14/07/18 01:00	14/07/18 02:00	1.1358619517191013	86266	57207	2513164
14/07/18 01:10	14/07/18 02:10	1.187672620507242	87335	57615	2630505
14/07/18 01:20	14/07/18 02:20	1.1768849765399116	90622	58063	2788108
14/07/18 01:30	14/07/18 02:30	1.1919486686183578	92057	58194	2789651
14/07/18 01:40	14/07/18 02:40	1.2180573841225388	90682	57621	2640284
14/07/18 01:50	14/07/18 02:50	1.2890479130878203	104922	24990	2676176
14/07/18 02:00	14/07/18 03:00	1.2872755252617354	109652	25906	2806000
14/07/18 02:10	14/07/18 03:10	1.2758883339377165	109754	25423	2851883
14/07/18 02:20	14/07/18 03:20	1.2726051196137416	107078	25088	2700206
14/07/18 02:30	14/07/18 03:30	1.4151068233834323	108795	32023	2559396
14/07/18 02:40	14/07/18 03:40	1.4904387870068465	109473	35710	2564091
14/07/18 02:50	14/07/18 03:50	1.4999621041609847	98991	32740	2652780
14/07/18 03:00	14/07/18 04:00	1.5934139079209453	97905	33259	2650003
14/07/18 03:10	14/07/18 04:10	1.6351424624740787	96933	33675	2529417
