conn_in	conn_out	dns_in_distinct	ssh_in
52927.0	20280.0	36.0	2123.0
52036.0	19837.0	38.0	2118.0
51822.0	20035.0	37.0	2280.0
51475.0	19716.0	37.0	2569.0
50241.0	19675.0	39.0	2501.0
43132.0	15302.0	37.0	2471.0
42289.0	15321.0	36.0	2480.0
42929.0	15281.0	33.0	2453.0
42188.0	15393.0	37.0	2263.0
41539.0	15039.0	39.0	1995.0
42136.0	15515.0	37.0	1832.0
39174.0	15157.0	35.0	2016.0
39176.0	15687.0	39.0	2322.0
38700.0	15107.0	37.0	2720.0
39130.0	15421.0	34.0	2936.0
39496.0	15277.0	29.0	3253.0
39731.0	15524.0	38.0	3276.0
39718.0	15599.0	43.0	3091.0
39825.0	15866.0	37.0	2997.0
39883.0	16175.0	39.0	2645.0
40526.0	16231.0	41.0	2440.0
40760.0	16571.0	42.0	2164.0
41764.0	16321.0	36.0	2781.0
41629.0	16647.0	33.0	2990.0
41834.0	16148.0	35.0	2799.0
42267.0	16475.0	36.0	2761.0
41724.0	15991.0	36.0	3008.0
42041.0	16213.0	33.0	3151.0
40939.0	15790.0	34.0	2712.0
44029.0	16233.0	34.0	2579.0
43481.0	15527.0	34.0	2836.0
43982.0	16171.0	34.0	3198.0
44042.0	16008.0	33.0	2973.0
44295.0	16427.0	37.0	2845.0
44450.0	16212.0	35.0	2915.0
52327.0	20600.0	33.0	3223.0
55197.0	21225.0	29.0	3234.0
55299.0	20646.0	31.0	3066.0
56100.0	20733.0	34.0	3027.0
56061.0	20558.0	35.0	3101.0
56746.0	20884.0	36.0	2810.0
49986.0	16222.0	40.0	2743.0
48043.0	15985.0	41.0	2631.0
48098.0	15925.0	39.0	2581.0
47725.0	16276.0	36.0	2664.0
48546.0	16123.0	35.0	2908.0
50538.0	16251.0	36.0	3480.0
48460.0	16025.0	32.0	3616.0
48744.0	16549.0	34.0	3722.0
48383.0	16159.0	37.0	3839.0
48609.0	16386.0	39.0	3957.0
48009.0	15925.0	35.0	4043.0
46014.0	16455.0	35.0	3950.0
44988.0	16372.0	35.0	3752.0
45077.0	16343.0	36.0	3982.0
45571.0	16511.0	36.0	4213.0
45765.0	16573.0	35.0	4304.0
45886.0	16712.0	37.0	4096.0
45242.0	16206.0	35.0	3936.0
44635.0	16222.0	41.0	4177.0
43813.0	16003.0	38.0	3790.0
43179.0	16108.0	41.0	3611.0
43379.0	15624.0	40.0	3610.0
44746.0	16440.0	37.0	3488.0
47317.0	16918.0	38.0	3432.0
53134.0	18350.0	29.0	3247.0
55990.0	18808.0	32.0	3117.0
59626.0	20316.0	28.0	3131.0
61214.0	21032.0	26.0	2842.0
61621.0	21581.0	25.0	3054.0
61746.0	21939.0	23.0	3080.0
66919.0	26354.0	22.0	2986.0
69010.0	26919.0	21.0	3196.0
67942.0	26182.0	23.0	3332.0
67407.0	26322.0	24.0	3618.0
67473.0	25888.0	25.0	3784.0
67904.0	26132.0	24.0	3855.0
62727.0	21154.0	28.0	3767.0
61201.0	20970.0	29.0	4039.0
60442.0	20166.0	28.0	3766.0
60520.0	20585.0	27.0	3587.0
60400.0	20175.0	30.0	3192.0
61785.0	20117.0	34.0	3214.0
58370.0	19801.0	32.0	3176.0
56709.0	19631.0	28.0	2745.0
56546.0	20059.0	31.0	2630.0
57329.0	19728.0	34.0	2693.0
57503.0	20125.0	34.0	2806.0
54960.0	19794.0	30.0	2778.0
54618.0	20264.0	32.0	3051.0
55037.0	20448.0	33.0	3109.0
56474.0	21349.0	32.0	3767.0
55949.0	20922.0	31.0	4242.0
56205.0	21208.0	30.0	4471.0
55579.0	20644.0	30.0	4546.0
55812.0	20798.0	28.0	4702.0
55150.0	19848.0	26.0	5072.0
53586.0	19422.0	25.0	4819.0
53142.0	19105.0	26.0	4457.0
52181.0	18918.0	25.0	4503.0
52261.0	19060.0	25.0	4455.0
54190.0	18655.0	24.0	4318.0
54536.0	18943.0	23.0	4572.0
54543.0	18897.0	23.0	4375.0
53597.0	18951.0	24.0	4333.0
53532.0	18705.0	26.0	4087.0
53736.0	18702.0	27.0	3930.0
59077.0	23189.0	28.0	3696.0
62317.0	23774.0	31.0	3338.0
63283.0	23293.0	31.0	3779.0
64900.0	23981.0	30.0	4182.0
65337.0	23588.0	28.0	4563.0
65650.0	24101.0	29.0	4984.0
60905.0	19024.0	28.0	5151.0
59035.0	19218.0	25.0	5078.0
58218.0	19315.0	26.0	4647.0
57481.0	18889.0	25.0	4316.0
56868.0	19062.0	29.0	4074.0
56968.0	18461.0	28.0	4417.0
53430.0	18980.0	29.0	4668.0
53281.0	19085.0	30.0	5158.0
